id,name,class,city,origin,updated_at,created_at
209,Super Glue,class-indica,"Los Angeles, California","33.9875499,-118.4792248",1361781248,1491565081
213,Super Jack,class-sativa,,,1361781255,1491566278
430,Super Lemon Haze,class-indica,,,1408989496,1417519155
178,Super Silver Haze,class-indica,,,1361781225,1491564936
36,Super Skunk,class-hybrid,,,1361781199,1491561691
6,Super Sour Diesel,class-sativa,"Amsterdam, Netherlands","52.3710755,4.8723518",1361781198,1491565264
147,Sweet Berry,class-hybrid,,,1361781215,1502305833
444,Sweet Tooth,class-indica,,,1408989500,1417519356
118,Tahoe Alien,class-hybrid,,,1361781208,1491563494
418,Tahoe OG,class-indica,,,1408989493,1417519004
978,Tahoe OG Kush,class-indica,,,1408989701,1417524142
419,Tangerine,class-indica,,,1408989493,1417519024
32,Tangerine Dream,class-sativa,,,1361781199,1491563738
334,THC Bomb,class-hybrid,,,1361784000,1417522468
47,The Purps,class-hybrid,,,1361781200,1491564181
401,Trainwreck,class-sativa,,,1408989486,1491566351
363,Trinity,class-sativa,,,1361786850,1417515088
417,True OG,class-indica,,,1408989493,1417518994
403,UK Cheese,class-hybrid,,,1408989487,1417518844
563,Unknown,class-hybrid,,,1408989541,1417520860
248,Vanilla Kush,class-hybrid,,,1361781372,1491565797
66,Violator Kush,class-indica,,,1361781201,1491564513
131,Vortex,class-sativa,,,1361781211,1491565428
895,White Berry,class-hybrid,,,1408989673,1417516795
437,White Fire OG,class-sativa,"Los Angeles, California","33.9875499,-118.4792248",1408989498,1491564310
19,White Lightning,class-hybrid,,,1361781199,1491564808
13,White Queen,class-hybrid,,,1361781198,1491561360
73,White Rhino,class-indica,,,1361781202,1491565172
84,White Russian,class-hybrid,,,1361781203,1491561563
26,White Siberian,class-indica,,,1361781199,1491564588
21,White Widow,class-indica,,,1361781199,1491564754
303,Willie Nelson,class-hybrid,,,1361782145,1491563287
146,Willy’s Wonder,class-hybrid,,,1361781215,1491563080
138,Wonder Woman,class-hybrid,"Amsterdam, Netherlands","52.3710755,4.8723518",1361781213,1491563530
518,XJ-13,class-hybrid,,,1408989524,1417520158
364,XXX OG,class-hybrid,,,1361787183,1417515343
15,Yabba Dabba Goo,class-hybrid,"Los Angeles, California","33.9875499,-118.4792248",1361781198,1491561098
